"Fournisseur";"Code fournisseur";"Designation fournisseur";"Article propose";"Confiance";"Valider O/N";"Si a corriger: bon article"
"Alsabret (Au Pain de mon Grand-Père)";"REST007";"KOUGELHOPF Sucré";"Kougelhopf";"haute";"";""
"Café Sati";"3149330001305";"SATI GASTRO GRAINS BAR 1KG C6";"Sati Gastro Grains Bar";"haute";"";""
"Café Sati";"3149330064351";"ESPRESSO BELLA ITALIA 1KG C8";"Espresso Bella Italia";"haute";"";""
"Distribution Iller";"078801";"CUISSES DE CANARD CONFITES X4 S/VIDE 1KG ROUGIE";"Cuisses de canard confites";"haute";"";""
"Distribution Iller";"069003";"JAMBON FORET NOIRE TRANCHE BARQ 200GR";"Jambon Foret Noire";"haute";"";""
"Distribution Iller";"013800";"BOEUF BOURGUIGNON S/V 2.5KG";"Boeuf Bourguignon";"haute";"";""
"Distribution Iller";"215600";"ESCALOPE FOIE GRAS CANARD IMPORT SURGELE";"Foie Gras Canard";"haute";"";""
"Distribution Iller";"074300";"BLANC DE POULET PAQ 1,5KG FRANCE SIEBERT";"Blanc De Poulet";"haute";"";""
"Distribution Iller";"074301";"BLANC DE POULET IMPORT X 5KG";"Blanc De Poulet";"haute";"";""
"Distribution Iller";"054822";"LARDONS FUMES SEL SEC ILLER 8/3/20 CONGELE";"Lardons Fumés";"haute";"";""
"Distribution Iller";"030501";"NOIX DE VEAU UE BLANCHE";"Noix de veau";"haute";"";""
"Distribution Iller";"280002";"SAUMON FUME TRANCHE SELECTION (1KG)";"Saumon fumé";"haute";"";""
"Distribution Iller";"052101";"LARD SALE EN 1/2";"Lard Sale";"haute";"";""
"Distribution Iller";"052119";"LARD SALE CUIT 1/2";"Lard Sale";"haute";"";""
"Distribution Iller";"054900";"LARD FUME 1/2 S/V";"Lard Fume";"haute";"";""
"Distribution Iller";"054919";"LARD FUME CUIT 1/2 S/V";"Lard Fume";"haute";"";""
"Distribution Iller";"066900";"GENDARMES S/AT";"Gendarmes";"haute";"";""
"Distribution Iller";"070600";"POULE PAC";"Poule Pac";"haute";"";""
"Distribution Iller";"062100";"CERVELAS 120GR PAR 10 S/V";"Cervelas";"haute";"";""
"Distribution Iller";"012000";"PALERON DE BOEUF S/V";"Paleron";"moyenne";"";""
"Distribution Iller";"015300";"PALERON DE BOEUF FRANCE";"Paleron";"moyenne";"";""
"Distribution Iller";"051619";"JARRET POIRE CUIT ILLER";"Jarret";"moyenne";"";""
"Distribution Iller";"140219";"JARRET CUIT FAB ILLER X2 LE PAQ";"Jarret";"moyenne";"";""
"Distribution Iller";"271155";"FILET DE SAUMON TRIM D (Salmo Salar)";"Saumon";"moyenne";"";""
"Distribution Iller";"271285";"FILET DE SAUMON TRIM D QUALITE B (Salmo Salar)";"Saumon";"moyenne";"";""
"Essentiel RHF";"051036";"NETTOYANT DETARTRANT SANIT 750ML";"Nettoyant Detartrant Sanit";"haute";"";""
"Essentiel RHF";"A00832";"AROME VANILLINE PATISSIER 1L";"Arome Vanilline Patissier";"haute";"";""
"Essentiel RHF";"";"Moutarde d'Alsace douce";"Moutarde d'Alsace douce";"haute";"";""
"Essentiel RHF";"507482";"LIQUIDE PLONGE MANUELLE 1L";"Liquide Plonge Manuelle";"haute";"";""
"Essentiel RHF";"991483";"NETTOYANT CONCENTRE PIN 5L";"Nettoyant Concentre Pin";"haute";"";""
"Essentiel RHF";"A00216";"NOIX INVALIDES ARLEQUIN 1KG";"Noix Invalides Arlequin";"haute";"";""
"Essentiel RHF";"A01794";"DESODORISANT PRINTANIER 750ML";"Desodorisant Printanier";"haute";"";""
"Essentiel RHF";"A00102";"TOMATE CONCASSEE CUBE 5/1";"Tomate Concassee Cube";"haute";"";""
"Essentiel RHF";"A01381";"COPEAUX CHOCOLAT NOIR 1KG";"Copeaux Chocolat Noir";"haute";"";""
"Essentiel RHF";"473018";"ESSUIE MAIN BLC ECO X2";"Essuie Main Blc Eco";"haute";"";""
"Essentiel RHF";"A02336";"VINAIGRE ALCOOL BLC 1,5L";"Vinaigre Alcool Blc";"haute";"";""
"Essentiel RHF";"A00432";"CORIANDRE ENTIERE BTE 1L";"Coriandre Entiere";"haute";"";""
"Essentiel RHF";"A00572";"CHAMPIGNONS PARIS 3KG";"Champignons Paris";"haute";"";""
"Essentiel RHF";"A01008";"CIGARETTES RUSSES 1,4KG";"Cigarettes Russes";"haute";"";""
"Essentiel RHF";"A01064";"CARTOUCHES SIPHON X 24";"Cartouches Siphon";"haute";"";""
"Essentiel RHF";"A00065";"TOMATE CONCENTRE 4/4";"Tomate Concentre";"haute";"";""
"Essentiel RHF";"A01227";"ESCALOPE DE FOIE GRAS CANARD 1KG SURG";"Foie Gras Canard";"haute";"";""
"Essentiel RHF";"012315";"EPONGE VERTE PM X 10";"Eponge Verte Pm";"haute";"";""
"Essentiel RHF";"126075";"PAP TOILETTE PP X12";"Pap Toilette Pp";"haute";"";""
"Essentiel RHF";"414059";"ESSUIE MAIN BLC 2P";"Essuie Main Blc";"haute";"";""
"Essentiel RHF";"A00079";"CHAPELURE BRUNE 1KG";"Chapelure Brune";"haute";"";""
"Essentiel RHF";"A00144";"HUILE TOURNESOL 1 LITRE";"Huile tournesol";"haute";"";""
"Essentiel RHF";"A00213";"MIEL LIQUIDE PP 1KG";"Miel Liquide Pp";"haute";"";""
"Essentiel RHF";"A00429";"CANNELLE MOULUE BTE 1L";"Cannelle Moulue";"haute";"";""
"Essentiel RHF";"A01010";"EPONGE VERTE GM X10";"Eponge Verte Gm";"haute";"";""
"Essentiel RHF";"A01013";"HUILE TOURNESOL 5L";"Huile tournesol";"haute";"";""
"Essentiel RHF";"A00174";"CREME VANILLEE ALSACE LAIT 1 LITRE";"Creme Vanillee";"haute";"";""
"Essentiel RHF";"A00175";"CREME ANGLAISE ALSACE LAIT 1 LITRE";"Creme Anglaise";"haute";"";""
"Essentiel RHF";"A00263";"RAIFORT ALELOR 1KG";"Raifort Alelor";"haute";"";""
"Essentiel RHF";"A01119";"MUSCADE MOULUE 1KG";"Muscade Moulue";"haute";"";""
"Essentiel RHF";"A01264";"HERBE PROVENCE BTE 1L";"Herbe Provence";"haute";"";""
"Essentiel RHF";"A00212";"SUCRE SEMOULE SACHET 1KG";"Sucre Semoule";"haute";"";""
"Essentiel RHF";"A00214";"SUCRE CRISTAL 1KG";"Sucre Cristal";"haute";"";""
"Essentiel RHF";"A00437";"BAIE GENIEVRE BTE 1L";"Baie Genievre";"haute";"";""
"Essentiel RHF";"A00700";"NAPPAGE BLOND 1KG";"Nappage Blond";"haute";"";""
"Essentiel RHF";"A00739";"FILM ETIRABLE 300X45";"Film Etirable";"haute";"";""
"Essentiel RHF";"A00797";"CHOCOLAT NOIR 44% PALETS 5KG";"Chocolat Noir";"haute";"";""
"Essentiel RHF";"A00865";"TABASCO ROUGE 60ML";"Tabasco Rouge";"haute";"";""
"Essentiel RHF";"A01117";"VIN ROUGE BIB 10L";"Vin Rouge Bib";"haute";"";""
"Essentiel RHF";"A01533";"CHOCOLAT NOIR 55% 5KG";"Chocolat Noir";"haute";"";""
"Essentiel RHF";"A00438";"CLOU GIROFLE BTE 1L";"Clou Girofle";"haute";"";""
"Essentiel RHF";"A00691";"BRETZEL MINI 2,5KG";"Bretzel Mini";"haute";"";""
"Essentiel RHF";"A00775";"LAVETTE BLEU X15";"Lavette Bleu";"haute";"";""
"Essentiel RHF";"255867";"NETTOYANT DEGRAISSANT ECO 750ML";"Degraissant";"haute";"";""
"Essentiel RHF";"A00401";"OEUFS FRAIS MOYEN X30";"Oeufs Frais";"haute";"";""
"Essentiel RHF";"A00641";"PERSIL PLAT KG FRAIS";"Persil plat";"haute";"";""
"Essentiel RHF";"A01054";"CUMIN GRAIN 1KG";"Cumin Grain";"haute";"";""
"Essentiel RHF";"A01060";"LAIT ENTIER UHT 1L";"Lait Entier";"haute";"";""
"Essentiel RHF";"A01095";"RIZ BASMATI 5KG";"Riz Basmati";"haute";"";""
"Essentiel RHF";"A01152";"POIVRE VERT 4/4";"Poivre Vert";"haute";"";""
"Essentiel RHF";"A01711";"RIZ BASMATI 1KG";"Riz Basmati";"haute";"";""
"Essentiel RHF";"A00357";"MASCARPONE GRANAROLO 500GRS";"Mascarpone";"haute";"";""
"Essentiel RHF";"A00588";"COMTE RAPE 1KG";"Comte Rape";"haute";"";""
"Essentiel RHF";"A00727";"SAC S/VIDE LISSE 200X300MM X 100";"Vide Lisse";"haute";"";""
"Essentiel RHF";"A00756";"SAC S/VIDE LISSE 300X400 X100";"Vide Lisse";"haute";"";""
"Essentiel RHF";"A00870";"CIBOULETTE FRAICHE 100GRS";"Ciboulette";"haute";"";""
"Essentiel RHF";"A01449";"ORANGE PLT 1 KG";"Orange Plt";"haute";"";""
"Essentiel RHF";"A00740";"ALUMINIUM 200X45";"Aluminium";"haute";"";""
"Essentiel RHF";"A00932";"VIN BLANC 2X5L";"Vin Blanc";"haute";"";""
"Essentiel RHF";"A00555";"BOUILLON DE BOEUF 1000GRS";"Bouillon";"haute";"";""
"Essentiel RHF";"A00556";"BOUILLON DE VOLAILLE 1000GRS";"Bouillon";"haute";"";""
"Essentiel RHF";"A00627";"BOUILLON LEGUME BIO 1200GRS";"Bouillon";"haute";"";""
"Essentiel RHF";"A00887";"COUSCOUS 5KG";"Couscous";"haute";"";""
"Essentiel RHF";"A00077";"SEL FIN DE MER 1KG";"Sel Fin";"moyenne";"";""
"Essentiel RHF";"A00087";"SEL FIN CEREBOS 5KG";"Sel Fin";"moyenne";"";""
"Essentiel RHF";"A00589";"MUNSTER KG";"Munster";"moyenne";"";""
"Essentiel RHF";"A00725";"500 PAILLES CARTON BLC";"Pailles";"moyenne";"";""
"Essentiel RHF";"A01305";"STABILISATEUR CREMFIX 750GRS";"Cremfix";"moyenne";"";""
"Essentiel RHF";"410339";"BOBINE 450F X 6";"Bobine";"moyenne";"";""
